Lesson,CardNum,Maranao,WordNote,Cebuano Word,WordNote,English,EnglishNote,Grammar,Category,SubCategory1,SubCategory2,ACTFLEst,Type
15,189,Timan,,Buok,,Piece,,Numeral classifier / Noun,Function Word,Classifier,Classifier,Novice-High,N
15,190,Bayad,,Bayad,,Payment,,Verb / Noun,You,Personal Action,Transaction,Novice-High,N
15,191,Protas,,Prutas,,Fruits,,Noun,Home,Household Item,Food,Novice-Mid,N
15,192,Ledte,,Utan,,Vegetables,,Noun,Home,Household Item,Food,Novice-Mid,N
15,193,Karni,,Karne,,Meat,,Noun,Home,Household Item,Food,Novice-Mid,N
15,194,Manok,,Manok,,Chicken,,Noun,Home,Household Item,Food,Novice-Mid,N
15,195,Manga dagangan,,Mga baligya,,Goods for sale,,Noun phrase,World,Commercial Item,Commercial Item,Novice-High,N
15,196,Margas,,Bugas,,Rice,,Noun,Home,Household Item,Staple Food,Novice-Mid,N
15,197,Pirak,,Kwarta,,Money,,Noun,Function Word,Currency,Currency,Novice-Mid,N
15,198,Mala i arga,,Mahal,,Expensive,,Adjective,Function Word,Value,Value,Novice-Mid,N
15,199,Malebed i arga,,Barato,,Cheap,,Adjective,Function Word,Value,Value,Novice-Mid,N
10,201,bolos,,Dayon,,Come in,,Interjection / Adverb,You,Personal Interaction,Invitation,Novice-High,S
15,202,Lekaan,,Abri,,Open,,Verb,You,Personal Action,Command,Novice-High,N
15,203,pira,,Pila,,How many,,Interrogative,Function Word,Question Word,Question Word,Novice-Mid,S
15,204,Kopiyaan,,Palihog,,Please,,Particle / Polite marker,You,Personal Interaction,Politeness,Novice-Mid,S
15,205,Sokay,,Plite,,Fare,,Noun / Exclamation,You,Personal Action,Transportation,Novice-High,S
14,206,Tanto mapiya i taam,,lami-a oy,,Yummy,,Exclamatory phrase / Interjection,You,Personal Perception,Taste Reaction,Novice-High,S
7,207,kowt,,Hapit,,Stop by,,Verb / Adverb,You,Personal Interaction,Visit,Novice-High,S
5,208,aydo,,Agay ,,Ouch,,Interjection,You,Personal Emotion,Exclamation,Novice-High,S
10,185,ogaid,,kay,,Is,,Conjunction,Function Word,Equational Linker,Personal Name Marker,Novice-High,S
10,186,aden,,naa,,There is/has/have,,Existential verb,Function Word,Existence,,Novice-Mid,S
10,209,i,,ni,,Name Marker,,Particle / Linker,Function Word,Case Marker,,Novice-Mid,S
